四川成都电信,#genre#
优漫卡通,http://192.168.3.1:8188/rtp/239.94.1.31:5140?FCC=182.139.234.40:8027
宝宝动画专区,http://192.168.3.1:8188/rtp/239.94.1.32:5140?FCC=182.139.234.40:8027
少儿动画高清专区,http://192.168.3.1:8188/rtp/239.94.1.33:5140?FCC=182.139.234.40:8027
青春动漫专区,http://192.168.3.1:8188/rtp/239.94.1.34:5140?FCC=182.139.234.40:8027
热门综艺高清专区,http://192.168.3.1:8188/rtp/239.94.1.35:5140?FCC=182.139.234.40:8027
音乐现场高清专区,http://192.168.3.1:8188/rtp/239.94.1.36:5140?FCC=182.139.234.40:8027
戏曲精选专区,http://192.168.3.1:8188/rtp/239.94.1.37:5140?FCC=182.139.234.40:8027
戏曲专区,http://192.168.3.1:8188/rtp/239.94.1.38:5140?FCC=182.139.234.40:8027
魅力时尚高清专区,http://192.168.3.1:8188/rtp/239.94.1.39:5140?FCC=182.139.234.40:8027
爱生活高清专区,http://192.168.3.1:8188/rtp/239.94.1.41:5140?FCC=182.139.234.40:8027
百变课堂专区,http://192.168.3.1:8188/rtp/239.94.1.43:5140?FCC=182.139.234.40:8027
电竞天堂高清专区,http://192.168.3.1:8188/rtp/239.94.1.45:5140?FCC=182.139.234.40:8027
游戏风云,http://192.168.3.1:8188/rtp/239.94.1.46:5140?FCC=182.139.234.40:8027
足球高清专区,http://192.168.3.1:8188/rtp/239.94.1.47:5140?FCC=182.139.234.40:8027
红色影院专区,http://192.168.3.1:8188/rtp/239.94.1.48:5140?FCC=182.139.234.40:8027
经典剧场专区,http://192.168.3.1:8188/rtp/239.94.1.49:5140?FCC=182.139.234.40:8027
家庭理财,http://192.168.3.1:8188/rtp/239.94.1.50:5140?FCC=182.139.234.40:8027
墨宝高清专区,http://192.168.3.1:8188/rtp/239.94.1.51:5140?FCC=182.139.234.40:8027
军事高清专区,http://192.168.3.1:8188/rtp/239.94.1.52:5140?FCC=182.139.234.40:8027
解密高清专区,http://192.168.3.1:8188/rtp/239.94.1.53:5140?FCC=182.139.234.40:8027
地理高清专区,http://192.168.3.1:8188/rtp/239.94.1.54:5140?FCC=182.139.234.40:8027
看天下精选专区,http://192.168.3.1:8188/rtp/239.94.1.68:5140?FCC=182.139.234.40:8027
导视专区,http://192.168.3.1:8188/rtp/239.94.1.55:5140?FCC=182.139.234.40:8027
收视指南专区,http://192.168.3.1:8188/rtp/239.94.1.56:5140?FCC=182.139.234.40:8027
蓉城先锋专区,http://192.168.3.1:8188/rtp/239.94.1.57:5140?FCC=182.139.234.40:8027
东方财经高清,http://192.168.3.1:8188/rtp/239.94.1.59:5140?FCC=182.139.234.40:8027
4K视界专区,http://192.168.3.1:8188/rtp/239.94.1.60:5140?FCC=182.139.234.40:8027
